,lat,lon,mci,neighbourhood,occurrencedate,occurrenceday,occurrencehour,occurrencemonth,occurrenceyear,offence,premisetype,reporteddate,reportedday,reporteddayofweek,reporteddayofyear,reportedhour,reportedmonth,reportedyear
912,43.6538849,-79.4017792,Assault,Kensington-Chinatown (78),1397990700000,20.0,10,April,2014.0,Assault,Outside,1397990760000,20,Sunday    ,110,10,April,2014
913,43.6472588,-79.3733139,Assault,Waterfront Communities-The Island (77),1398012240000,20.0,16,April,2014.0,Assault,Apartment,1398012240000,20,Sunday    ,110,16,April,2014
914,43.6472588,-79.3733139,Break and Enter,Waterfront Communities-The Island (77),1398012240000,20.0,16,April,2014.0,Unlawfully In Dwelling-House,Apartment,1398012240000,20,Sunday    ,110,16,April,2014
915,43.6058655,-79.52668,Break and Enter,Alderwood (20),1389069000000,7.0,4,January,2014.0,B&E,Commercial,1389069000000,7,Tuesday   ,7,4,January,2014
916,43.7468452,-79.4910965,Assault,York University Heights (27),1389267660000,9.0,11,January,2014.0,Assault,Apartment,1389267660000,9,Thursday  ,9,11,January,2014
917,43.6846619,-79.4587021,Break and Enter,Caledonia-Fairbank (109),1389258000000,9.0,9,January,2014.0,B&E,House,1389280320000,9,Thursday  ,9,15,January,2014
918,43.6747131,-79.3929214,Break and Enter,Annex (95),1389833340000,16.0,0,January,2014.0,B&E,Commercial,1389834660000,16,Thursday  ,16,1,January,2014
919,43.6500168,-79.3584518,Assault,Waterfront Communities-The Island (77),1389866400000,16.0,10,January,2014.0,Assault,Apartment,1389875460000,16,Thursday  ,16,12,January,2014
920,43.7779846,-79.311203,Assault,Tam O'Shanter-Sullivan (118),1389911700000,16.0,22,January,2014.0,Assault,Commercial,1389912960000,16,Thursday  ,16,22,January,2014
921,43.6952248,-79.2858124,Assault,Oakridge (121),1390068000000,18.0,18,January,2014.0,Assault,House,1390077420000,18,Saturday  ,18,20,January,2014
922,43.6952248,-79.2858124,Assault,Oakridge (121),1390068000000,18.0,18,January,2014.0,Assault With Weapon,House,1390077420000,18,Saturday  ,18,20,January,2014
923,43.6565018,-79.366951,Assault,Moss Park (73),1390074480000,18.0,19,January,2014.0,Aggravated Assault,Apartment,1390074480000,18,Saturday  ,18,19,January,2014
924,43.6359024,-79.4383163,Assault,South Parkdale (85),1390084200000,18.0,22,January,2014.0,Assault With Weapon,Apartment,1390086840000,18,Saturday  ,18,23,January,2014
925,43.8285942,-79.233551,Assault,Rouge (131),1390480260000,23.0,12,January,2014.0,Assault,House,1390480260000,23,Thursday  ,23,12,January,2014
926,43.8285942,-79.233551,Assault,Rouge (131),1390480260000,23.0,12,January,2014.0,Assault With Weapon,House,1390480260000,23,Thursday  ,23,12,January,2014
927,43.7159882,-79.3049393,Assault,Victoria Village (43),1390499700000,23.0,17,January,2014.0,Assault,Apartment,1390499700000,23,Thursday  ,23,17,January,2014
928,43.7679863,-79.4100723,Assault,Willowdale East (51),1390497420000,23.0,17,January,2014.0,Assault,Outside,1390497420000,23,Thursday  ,23,17,January,2014
929,43.7679863,-79.4100723,Assault,Willowdale East (51),1390497420000,23.0,17,January,2014.0,Assault,Outside,1390497420000,23,Thursday  ,23,17,January,2014
930,43.7439919,-79.5988693,Break and Enter,West Humber-Clairville (1),1393673880000,1.0,11,March,2014.0,Unlawfully In Dwelling-House,House,1393673880000,1,Saturday  ,60,11,March,2014
931,43.6804237,-79.3373184,Robbery,Danforth (66),1393653600000,1.0,6,March,2014.0,Robbery - Mugging,Outside,1393681380000,1,Saturday  ,60,13,March,2014
932,43.7370987,-79.2461624,Assault,Eglinton East (138),1393717200000,1.0,23,March,2014.0,Assault,Apartment,1393717500000,1,Saturday  ,60,23,March,2014
933,43.6662865,-79.3783493,Assault,North St.James Town (74),1392249600000,13.0,0,February,2014.0,Assault,Apartment,1392736740000,18,Tuesday   ,49,15,February,2014
934,43.6662865,-79.3783493,Assault,North St.James Town (74),1392249600000,13.0,0,February,2014.0,Assault With Weapon,Apartment,1392736740000,18,Tuesday   ,49,15,February,2014
935,43.8062897,-79.180397,Assault,Rouge (131),1388527200000,31.0,22,December,2013.0,Assault,House,1388542980000,1,Wednesday ,1,2,January,2014
936,43.8062897,-79.180397,Assault,Rouge (131),1388527200000,31.0,22,December,2013.0,Assault,House,1388542980000,1,Wednesday ,1,2,January,2014
937,43.7184258,-79.4295883,Break and Enter,Bedford Park-Nortown (39),1386892800000,13.0,0,December,2013.0,B&E,Apartment,1390001580000,17,Friday    ,17,23,January,2014
938,43.7867126,-79.2421722,Assault,Agincourt South-Malvern West (128),1382994000000,28.0,21,October,2013.0,Assault Bodily Harm,Outside,1392852600000,19,Wednesday ,50,23,February,2014
939,43.7907181,-79.1521454,Assault,Centennial Scarborough (133),1392307200000,13.0,16,February,2014.0,Assault,Other,1392834360000,19,Wednesday ,50,18,February,2014
940,43.6637077,-79.3592453,Assault,Cabbagetown-South St.James Town (71),1396544400000,3.0,17,April,2014.0,Assault,Outside,1397070420000,9,Wednesday ,99,19,April,2014
941,43.6637077,-79.3592453,Assault,Cabbagetown-South St.James Town (71),1396544400000,3.0,17,April,2014.0,Assault,Outside,1397070420000,9,Wednesday ,99,19,April,2014
942,43.6709251,-79.3280182,Break and Enter,Greenwood-Coxwell (65),1394823600000,14.0,19,March,2014.0,B&E,Apartment,1394992200000,16,Sunday    ,75,17,March,2014
943,43.7665329,-79.2707977,Assault,Bendale (127),1398265200000,23.0,15,April,2014.0,Assault,House,1398447240000,25,Friday    ,115,17,April,2014
944,43.6702614,-79.3704071,Assault,Cabbagetown-South St.James Town (71),883612860000,,0,,,Assault With Weapon,Apartment,1398525600000,26,Saturday  ,116,15,April,2014
945,43.6702614,-79.3704071,Assault,Cabbagetown-South St.James Town (71),883612860000,,0,,,Assault With Weapon,Apartment,1398525600000,26,Saturday  ,116,15,April,2014
946,43.6702614,-79.3704071,Assault,Cabbagetown-South St.James Town (71),883612860000,,0,,,Assault,Apartment,1398525600000,26,Saturday  ,116,15,April,2014
947,43.7538872,-79.4130249,Assault,Lansing-Westgate (38),1398872700000,30.0,15,April,2014.0,Assault,Other,1399023060000,2,Friday    ,122,9,May,2014
948,43.6864853,-79.2885208,Break and Enter,East End-Danforth (62),1396540800000,3.0,16,April,2014.0,B&E W'Intent,House,1396619400000,4,Friday    ,94,13,April,2014
949,43.6931458,-79.2912979,Assault,Taylor-Massey (61),1399125720000,3.0,14,May,2014.0,Assault,Outside,1399125720000,3,Saturday  ,123,14,May,2014
950,43.7431831,-79.2189102,Robbery,Scarborough Village (139),1399148400000,3.0,20,May,2014.0,Robbery - Swarming,Apartment,1399149360000,3,Saturday  ,123,20,May,2014
951,43.7864914,-79.3521042,Assault,Don Valley Village (47),1399509000000,8.0,0,May,2014.0,Assault With Weapon,Commercial,1399509360000,8,Thursday  ,128,0,May,2014
952,43.7184944,-79.4329758,Robbery,Englemount-Lawrence (32),1399532400000,8.0,7,May,2014.0,Robbery - Purse Snatch,Outside,1399563900000,8,Thursday  ,128,15,May,2014
953,43.7994919,-79.3200989,Robbery,L'Amoreaux (117),1399575900000,8.0,19,May,2014.0,Robbery - Mugging,Outside,1399575900000,8,Thursday  ,128,19,May,2014
954,43.7586098,-79.4040375,Assault,Willowdale East (51),1399774140000,11.0,2,May,2014.0,Assault With Weapon,Outside,1399774140000,11,Sunday    ,131,2,May,2014
955,43.7586098,-79.4040375,Assault,Willowdale East (51),1399774140000,11.0,2,May,2014.0,Assault With Weapon,Outside,1399774140000,11,Sunday    ,131,2,May,2014
956,43.6868515,-79.5131454,Assault,Humber Heights-Westmount (8),1399782000000,11.0,4,May,2014.0,Assault,Apartment,1399782240000,11,Sunday    ,131,4,May,2014
957,43.7777443,-79.324173,Assault,L'Amoreaux (117),1399839900000,11.0,20,May,2014.0,Assault With Weapon,Apartment,1399840020000,11,Sunday    ,131,20,May,2014
958,43.7694817,-79.302269,Robbery,Wexford/Maryvale (119),1400211240000,16.0,3,May,2014.0,Robbery - Mugging,Commercial,1400211240000,16,Friday    ,136,3,May,2014
959,43.7694817,-79.302269,Robbery,Wexford/Maryvale (119),1400211240000,16.0,3,May,2014.0,Robbery - Other,Commercial,1400211240000,16,Friday    ,136,3,May,2014
960,43.7410851,-79.4855576,Assault,Downsview-Roding-CFB (26),1400199300000,16.0,0,May,2014.0,Pointing A Firearm,Apartment,1400250840000,16,Friday    ,136,14,May,2014
961,43.7721443,-79.5226669,Assault,Black Creek (24),1393790400000,2.0,20,March,2014.0,Assault,Apartment,1393850340000,3,Monday    ,62,12,March,2014
962,43.7327728,-79.2645569,Assault,Kennedy Park (124),1398378000000,24.0,22,April,2014.0,Assault,Other,1399024020000,2,Friday    ,122,9,May,2014
963,43.7374153,-79.3022766,Break and Enter,Wexford/Maryvale (119),1396958400000,8.0,12,April,2014.0,B&E,House,1397234700000,11,Friday    ,101,16,April,2014
964,43.7602196,-79.2167892,Robbery,Woburn (137),1398354300000,24.0,15,April,2014.0,Robbery - Other,Outside,1398681240000,28,Monday    ,118,10,April,2014
965,43.6852226,-79.5670471,Theft Over,Willowridge-Martingrove-Richview (7),1400207400000,16.0,2,May,2014.0,Theft From Motor Vehicle Over,House,1400238960000,16,Friday    ,136,11,May,2014
966,43.7559319,-79.5242844,Assault,Black Creek (24),1400240700000,16.0,11,May,2014.0,Assault,Outside,1400255220000,16,Friday    ,136,15,May,2014
967,43.6859856,-79.2907486,Robbery,East End-Danforth (62),1400291400000,17.0,1,May,2014.0,Robbery With Weapon,Commercial,1400294040000,17,Saturday  ,137,2,May,2014
968,43.6859856,-79.2907486,Robbery,East End-Danforth (62),1400291400000,17.0,1,May,2014.0,Robbery With Weapon,Commercial,1400294040000,17,Saturday  ,137,2,May,2014
969,43.7755051,-79.3764114,Break and Enter,Bayview Village (52),1400279340000,16.0,22,May,2014.0,B&E W'Intent,House,1400280960000,16,Friday    ,136,22,May,2014
